month,division,line,day_type,reporting_category,subcategory,delays
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Braking,10
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Door-Related,12
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,"Fire, Smoke, Debris",23
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Other - CE,27
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Other Infrastructure,10
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Other Internal Disruptions,14
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Other - Sig,156
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Propulsion,16
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Rail and Roadbed,99
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Service Delivery,78
2023-12-01,A DIVISION,2,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,9
2023-12-01,A DIVISION,2,1,Operating Conditions,,446
2023-12-01,A DIVISION,2,1,Planned ROW Work,Capital Work - Other Planned ROW,1
2023-12-01,A DIVISION,2,1,Planned ROW Work,Subways Maintenance,297
2023-12-01,A DIVISION,2,1,Planned ROW Work,Work Equipment,27
2023-12-01,A DIVISION,2,1,Police & Medical,Persons on Roadbed,182
2023-12-01,A DIVISION,2,1,Police & Medical,"Public Conduct, Crime, Police Response",240
2023-12-01,A DIVISION,2,1,Police & Medical,Sick/Injured Customer,56
2023-12-01,A DIVISION,2,2,Crew Availability,Crew Availability,61
2023-12-01,A DIVISION,2,2,External Factors,External Agency or Utility,34
2023-12-01,A DIVISION,2,2,External Factors,External Debris on Roadbed,8
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Braking,4
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Door-Related,4
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Other - CE,1
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Other - Sig,78
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Propulsion,2
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Rail and Roadbed,13
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Service Delivery,32
2023-12-01,A DIVISION,2,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2023-12-01,A DIVISION,2,2,Operating Conditions,,309
2023-12-01,A DIVISION,2,2,Planned ROW Work,Capital Work - Other Planned ROW,8
2023-12-01,A DIVISION,2,2,Planned ROW Work,Subways Maintenance,89
2023-12-01,A DIVISION,2,2,Planned ROW Work,Work Equipment,3
2023-12-01,A DIVISION,2,2,Police & Medical,Persons on Roadbed,4
2023-12-01,A DIVISION,2,2,Police & Medical,"Public Conduct, Crime, Police Response",75
2023-12-01,A DIVISION,2,2,Police & Medical,Sick/Injured Customer,34
2023-12-01,A DIVISION,3,1,Crew Availability,Crew Availability,184
2023-12-01,A DIVISION,3,1,External Factors,External Agency or Utility,1
2023-12-01,A DIVISION,3,1,External Factors,External Debris on Roadbed,5
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Braking,2
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Door-Related,14
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,"Fire, Smoke, Debris",17
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Other - CE,13
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Other Infrastructure,9
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Other Internal Disruptions,9
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Other - Sig,24
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Propulsion,18
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Rail and Roadbed,93
2023-12-01,A DIVISION,3,1,Infrastructure & Equipment,Service Delivery,27
2023-12-01,A DIVISION,3,1,Operating Conditions,,174
2023-12-01,A DIVISION,3,1,Planned ROW Work,Capital Work - Other Planned ROW,1
2023-12-01,A DIVISION,3,1,Planned ROW Work,Subways Maintenance,63
2023-12-01,A DIVISION,3,1,Planned ROW Work,Work Equipment,4
2023-12-01,A DIVISION,3,1,Police & Medical,Persons on Roadbed,73
2023-12-01,A DIVISION,3,1,Police & Medical,"Public Conduct, Crime, Police Response",161
2023-12-01,A DIVISION,3,1,Police & Medical,Sick/Injured Customer,51
2023-12-01,A DIVISION,3,2,Crew Availability,Crew Availability,53
2023-12-01,A DIVISION,3,2,External Factors,External Agency or Utility,8
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Braking,1
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Door-Related,2
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Other - CE,1
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Other - Sig,32
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Propulsion,1
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Service Delivery,9
2023-12-01,A DIVISION,3,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2023-12-01,A DIVISION,3,2,Operating Conditions,,203
2023-12-01,A DIVISION,3,2,Planned ROW Work,Capital Work - Other Planned ROW,14
2023-12-01,A DIVISION,3,2,Planned ROW Work,Subways Maintenance,15
2023-12-01,A DIVISION,3,2,Planned ROW Work,Work Equipment,1
2023-12-01,A DIVISION,3,2,Police & Medical,Persons on Roadbed,1
2023-12-01,A DIVISION,3,2,Police & Medical,"Public Conduct, Crime, Police Response",81
2023-12-01,A DIVISION,3,2,Police & Medical,Sick/Injured Customer,12
2023-12-01,A DIVISION,4,1,Crew Availability,Crew Availability,239
2023-12-01,A DIVISION,4,1,External Factors,External Agency or Utility,42
2023-12-01,A DIVISION,4,1,External Factors,Inclement Weather,1
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Braking,10
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Door-Related,16
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,"Fire, Smoke, Debris",19
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Other - CE,33
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Other Infrastructure,1
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Other Internal Disruptions,43
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Other - Sig,192
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Propulsion,15
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Rail and Roadbed,72
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Service Delivery,44
2023-12-01,A DIVISION,4,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,1
2023-12-01,A DIVISION,4,1,Operating Conditions,,174
2023-12-01,A DIVISION,4,1,Planned ROW Work,Subways Maintenance,139
2023-12-01,A DIVISION,4,1,Planned ROW Work,Work Equipment,16
2023-12-01,A DIVISION,4,1,Police & Medical,Persons on Roadbed,249
2023-12-01,A DIVISION,4,1,Police & Medical,"Public Conduct, Crime, Police Response",179
2023-12-01,A DIVISION,4,1,Police & Medical,Sick/Injured Customer,55
2023-12-01,A DIVISION,4,2,Crew Availability,Crew Availability,100
2023-12-01,A DIVISION,4,2,External Factors,External Agency or Utility,3
2023-12-01,A DIVISION,4,2,External Factors,External Debris on Roadbed,13
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Door-Related,1
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Other - CE,5
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Other Infrastructure,5
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Other Internal Disruptions,6
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Other - Sig,53
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Rail and Roadbed,2
2023-12-01,A DIVISION,4,2,Infrastructure & Equipment,Service Delivery,12
2023-12-01,A DIVISION,4,2,Operating Conditions,,218
2023-12-01,A DIVISION,4,2,Planned ROW Work,Subways Maintenance,61
2023-12-01,A DIVISION,4,2,Police & Medical,Persons on Roadbed,32
2023-12-01,A DIVISION,4,2,Police & Medical,"Public Conduct, Crime, Police Response",89
2023-12-01,A DIVISION,4,2,Police & Medical,Sick/Injured Customer,28
2023-12-01,A DIVISION,5,1,Crew Availability,Crew Availability,144
2023-12-01,A DIVISION,5,1,External Factors,External Agency or Utility,32
2023-12-01,A DIVISION,5,1,External Factors,External Debris on Roadbed,7
2023-12-01,A DIVISION,5,1,External Factors,Inclement Weather,7
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Braking,11
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Door-Related,12
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,"Fire, Smoke, Debris",36
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Other - CE,45
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Other Infrastructure,2
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Other Internal Disruptions,27
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Other - Sig,73
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Propulsion,11
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Rail and Roadbed,29
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Service Delivery,41
2023-12-01,A DIVISION,5,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,11
2023-12-01,A DIVISION,5,1,Operating Conditions,,294
2023-12-01,A DIVISION,5,1,Planned ROW Work,Subways Maintenance,52
2023-12-01,A DIVISION,5,1,Planned ROW Work,Work Equipment,24
2023-12-01,A DIVISION,5,1,Police & Medical,Persons on Roadbed,181
2023-12-01,A DIVISION,5,1,Police & Medical,"Public Conduct, Crime, Police Response",204
2023-12-01,A DIVISION,5,1,Police & Medical,Sick/Injured Customer,63
2023-12-01,A DIVISION,5,2,Crew Availability,Crew Availability,42
2023-12-01,A DIVISION,5,2,External Factors,External Agency or Utility,5
2023-12-01,A DIVISION,5,2,External Factors,External Debris on Roadbed,33
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,Braking,1
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,"Fire, Smoke, Debris",2
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,Other Internal Disruptions,5
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,Other - Sig,47
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,Propulsion,2
2023-12-01,A DIVISION,5,2,Infrastructure & Equipment,Service Delivery,4
2023-12-01,A DIVISION,5,2,Operating Conditions,,119
2023-12-01,A DIVISION,5,2,Planned ROW Work,Subways Maintenance,50
2023-12-01,A DIVISION,5,2,Planned ROW Work,Work Equipment,8
2023-12-01,A DIVISION,5,2,Police & Medical,Persons on Roadbed,29
2023-12-01,A DIVISION,5,2,Police & Medical,"Public Conduct, Crime, Police Response",29
2023-12-01,A DIVISION,5,2,Police & Medical,Sick/Injured Customer,17
2023-12-01,A DIVISION,6,1,Crew Availability,Crew Availability,180
2023-12-01,A DIVISION,6,1,External Factors,External Agency or Utility,52
2023-12-01,A DIVISION,6,1,External Factors,External Debris on Roadbed,34
2023-12-01,A DIVISION,6,1,External Factors,Inclement Weather,34
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Braking,6
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Door-Related,96
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,"Fire, Smoke, Debris",29
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Other - CE,24
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Other Infrastructure,24
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Other Internal Disruptions,40
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Other - Sig,349
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Propulsion,26
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Rail and Roadbed,36
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Service Delivery,39
2023-12-01,A DIVISION,6,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,21
2023-12-01,A DIVISION,6,1,Operating Conditions,,652
2023-12-01,A DIVISION,6,1,Planned ROW Work,Subways Maintenance,212
2023-12-01,A DIVISION,6,1,Planned ROW Work,Work Equipment,58
2023-12-01,A DIVISION,6,1,Police & Medical,Persons on Roadbed,499
2023-12-01,A DIVISION,6,1,Police & Medical,"Public Conduct, Crime, Police Response",500
2023-12-01,A DIVISION,6,1,Police & Medical,Sick/Injured Customer,116
2023-12-01,A DIVISION,6,2,Crew Availability,Crew Availability,93
2023-12-01,A DIVISION,6,2,External Factors,External Debris on Roadbed,36
2023-12-01,A DIVISION,6,2,External Factors,Inclement Weather,1
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Braking,1
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Door-Related,6
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,"Fire, Smoke, Debris",25
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Other - CE,3
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Other Infrastructure,7
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Other - Sig,44
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Propulsion,11
2023-12-01,A DIVISION,6,2,Infrastructure & Equipment,Service Delivery,22
2023-12-01,A DIVISION,6,2,Operating Conditions,,177
2023-12-01,A DIVISION,6,2,Planned ROW Work,Subways Maintenance,85
2023-12-01,A DIVISION,6,2,Police & Medical,Persons on Roadbed,46
2023-12-01,A DIVISION,6,2,Police & Medical,"Public Conduct, Crime, Police Response",112
2023-12-01,A DIVISION,6,2,Police & Medical,Sick/Injured Customer,66
2023-12-01,A DIVISION,7,1,Crew Availability,Crew Availability,258
2023-12-01,A DIVISION,7,1,External Factors,External Agency or Utility,10
2023-12-01,A DIVISION,7,1,External Factors,External Debris on Roadbed,17
2023-12-01,A DIVISION,7,1,External Factors,Inclement Weather,20
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Door-Related,8
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Other - CE,2
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Other Infrastructure,208
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Other - Sig,102
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Propulsion,28
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Rail and Roadbed,152
2023-12-01,A DIVISION,7,1,Infrastructure & Equipment,Service Delivery,19
2023-12-01,A DIVISION,7,1,Operating Conditions,,84
2023-12-01,A DIVISION,7,1,Planned ROW Work,Capital Work - Other Planned ROW,38
2023-12-01,A DIVISION,7,1,Planned ROW Work,Insufficient Supplement Schedule,10
2023-12-01,A DIVISION,7,1,Planned ROW Work,Other Planned ROW Work,1
2023-12-01,A DIVISION,7,1,Planned ROW Work,Subways Maintenance,177
2023-12-01,A DIVISION,7,1,Planned ROW Work,Work Equipment,17
2023-12-01,A DIVISION,7,1,Police & Medical,Persons on Roadbed,325
2023-12-01,A DIVISION,7,1,Police & Medical,"Public Conduct, Crime, Police Response",241
2023-12-01,A DIVISION,7,1,Police & Medical,Sick/Injured Customer,39
2023-12-01,A DIVISION,7,2,Crew Availability,Crew Availability,116
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Braking,1
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Door-Related,15
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,"Fire, Smoke, Debris",3
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Other Infrastructure,6
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Other Internal Disruptions,32
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Other - Sig,36
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Service Delivery,12
2023-12-01,A DIVISION,7,2,Infrastructure & Equipment,Signal Modernization Capital Project,4
2023-12-01,A DIVISION,7,2,Operating Conditions,,22
2023-12-01,A DIVISION,7,2,Planned ROW Work,Capital Work - Other Planned ROW,57
2023-12-01,A DIVISION,7,2,Planned ROW Work,Subways Maintenance,178
2023-12-01,A DIVISION,7,2,Planned ROW Work,Work Equipment,10
2023-12-01,A DIVISION,7,2,Police & Medical,Persons on Roadbed,5
2023-12-01,A DIVISION,7,2,Police & Medical,"Public Conduct, Crime, Police Response",70
2023-12-01,A DIVISION,7,2,Police & Medical,Sick/Injured Customer,10
2023-12-01,B DIVISION,A,1,Crew Availability,Crew Availability,462
2023-12-01,B DIVISION,A,1,External Factors,External Agency or Utility,77
2023-12-01,B DIVISION,A,1,External Factors,External Debris on Roadbed,4
2023-12-01,B DIVISION,A,1,External Factors,Inclement Weather,11
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Braking,6
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Door-Related,17
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,"Fire, Smoke, Debris",25
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Other - CE,48
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Other Infrastructure,10
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Other Internal Disruptions,24
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Other - Sig,181
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Propulsion,50
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Rail and Roadbed,33
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Service Delivery,43
2023-12-01,B DIVISION,A,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,11
2023-12-01,B DIVISION,A,1,Operating Conditions,,263
2023-12-01,B DIVISION,A,1,Planned ROW Work,Capital Work - Other Planned ROW,21
2023-12-01,B DIVISION,A,1,Planned ROW Work,Other Planned ROW Work,1
2023-12-01,B DIVISION,A,1,Planned ROW Work,Subways Maintenance,385
2023-12-01,B DIVISION,A,1,Planned ROW Work,Work Equipment,2
2023-12-01,B DIVISION,A,1,Police & Medical,Persons on Roadbed,79
2023-12-01,B DIVISION,A,1,Police & Medical,"Public Conduct, Crime, Police Response",253
2023-12-01,B DIVISION,A,1,Police & Medical,Sick/Injured Customer,83
2023-12-01,B DIVISION,A,2,Crew Availability,Crew Availability,217
2023-12-01,B DIVISION,A,2,External Factors,External Agency or Utility,25
2023-12-01,B DIVISION,A,2,External Factors,External Debris on Roadbed,28
2023-12-01,B DIVISION,A,2,External Factors,Inclement Weather,1
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Braking,2
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Door-Related,2
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,"Fire, Smoke, Debris",4
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Other - CE,6
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Other - Sig,50
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Propulsion,1
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Rail and Roadbed,27
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Service Delivery,20
2023-12-01,B DIVISION,A,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,1
2023-12-01,B DIVISION,A,2,Operating Conditions,,125
2023-12-01,B DIVISION,A,2,Planned ROW Work,Capital Work - Other Planned ROW,93
2023-12-01,B DIVISION,A,2,Planned ROW Work,Subways Maintenance,276
2023-12-01,B DIVISION,A,2,Police & Medical,Persons on Roadbed,6
2023-12-01,B DIVISION,A,2,Police & Medical,"Public Conduct, Crime, Police Response",95
2023-12-01,B DIVISION,A,2,Police & Medical,Sick/Injured Customer,7
2023-12-01,B DIVISION,B,1,Crew Availability,Crew Availability,408
2023-12-01,B DIVISION,B,1,External Factors,External Agency or Utility,2
2023-12-01,B DIVISION,B,1,External Factors,External Debris on Roadbed,1
2023-12-01,B DIVISION,B,1,External Factors,Inclement Weather,2
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Braking,19
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Door-Related,24
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,"Fire, Smoke, Debris",24
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Other - CE,26
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Other - Sig,30
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Rail and Roadbed,35
2023-12-01,B DIVISION,B,1,Infrastructure & Equipment,Service Delivery,44
2023-12-01,B DIVISION,B,1,Operating Conditions,,278
2023-12-01,B DIVISION,B,1,Planned ROW Work,Capital Work - Other Planned ROW,10
2023-12-01,B DIVISION,B,1,Planned ROW Work,Subways Maintenance,10
2023-12-01,B DIVISION,B,1,Planned ROW Work,Work Equipment,5
2023-12-01,B DIVISION,B,1,Police & Medical,Persons on Roadbed,36
2023-12-01,B DIVISION,B,1,Police & Medical,"Public Conduct, Crime, Police Response",143
2023-12-01,B DIVISION,B,1,Police & Medical,Sick/Injured Customer,46
2023-12-01,B DIVISION,C,1,Crew Availability,Crew Availability,379
2023-12-01,B DIVISION,C,1,External Factors,External Debris on Roadbed,9
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Braking,7
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Door-Related,17
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,"Fire, Smoke, Debris",26
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Other - CE,36
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Other Infrastructure,6
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Other - Sig,78
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Propulsion,26
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Rail and Roadbed,8
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Service Delivery,25
2023-12-01,B DIVISION,C,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2023-12-01,B DIVISION,C,1,Operating Conditions,,260
2023-12-01,B DIVISION,C,1,Planned ROW Work,Capital Work - Other Planned ROW,10
2023-12-01,B DIVISION,C,1,Planned ROW Work,Subways Maintenance,37
2023-12-01,B DIVISION,C,1,Planned ROW Work,Work Equipment,4
2023-12-01,B DIVISION,C,1,Police & Medical,Persons on Roadbed,57
2023-12-01,B DIVISION,C,1,Police & Medical,"Public Conduct, Crime, Police Response",317
2023-12-01,B DIVISION,C,1,Police & Medical,Sick/Injured Customer,38
2023-12-01,B DIVISION,C,2,Crew Availability,Crew Availability,117
2023-12-01,B DIVISION,C,2,External Factors,External Debris on Roadbed,21
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Braking,1
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Door-Related,5
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Other - CE,1
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Other - Sig,13
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Propulsion,2
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Service Delivery,23
2023-12-01,B DIVISION,C,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2023-12-01,B DIVISION,C,2,Operating Conditions,,60
2023-12-01,B DIVISION,C,2,Planned ROW Work,Capital Work - Other Planned ROW,25
2023-12-01,B DIVISION,C,2,Planned ROW Work,Subways Maintenance,46
2023-12-01,B DIVISION,C,2,Planned ROW Work,Work Equipment,1
2023-12-01,B DIVISION,C,2,Police & Medical,Persons on Roadbed,5
2023-12-01,B DIVISION,C,2,Police & Medical,"Public Conduct, Crime, Police Response",67
2023-12-01,B DIVISION,C,2,Police & Medical,Sick/Injured Customer,18
2023-12-01,B DIVISION,D,1,Crew Availability,Crew Availability,521
2023-12-01,B DIVISION,D,1,External Factors,External Agency or Utility,3
2023-12-01,B DIVISION,D,1,External Factors,External Debris on Roadbed,14
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Braking,9
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Door-Related,9
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Other - CE,32
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Other Internal Disruptions,16
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Other - Sig,56
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Propulsion,2
2023-12-01,B DIVISION,D,1,Infrastructure & Equipment,Rail and Roadbed,17
